Year,GDP per capita (current US$)
1990,18211.50006
1991,18821.79526
1992,18570.12046
1993,17634.53475
1994,18046.13648
1995,20319.63063
1996,21861.32551
1997,23468.59683
1998,21318.96417
1999,20533.03506
2000,21679.24784
2001,19490.86111
2002,20082.48327
2003,23447.031
2004,30430.67644
2005,33999.24286
2006,36044.92281
2007,40960.05449
2008,49601.65671
2009,42772.35917
2010,52022.1256
2011,62517.83375
2012,68012.1479
2013,68150.10704
2014,62510.79117
2015,56755.72171
2016,49971.13146
2017,54027.96682
2018,57354.96405
