Year,Country,GDP Per Capita - Foreign
1990,Netherlands,"$36,633.03"
1990,Greece,"$24,459.28"
1990,New Zealand,"$27,615.61"
1990,Bahrain,"$38,613.49"
1990,Thailand,"$7,109.11"
1990,India,"$1,809.80"
1990,Indonesia,"$4,532.54"
1990,Germany,"$36,640.00"
1990,Japan,"$32,068.86"
1990,Hong Kong SAR,"$28,798.49"
1990,United States,"$40,500.59"
1990,Malaysia,"$10,308.02"
1990,United Kingdom,"$30,673.01"
1990,Fiji,"$8,427.25"
1990,Italy,"$36,764.74"
1990,Singapore,"$37,348.21"
1990,Canada,"$32,036.27"
1990,United Arab Emirates,"$111,454.36"
1990,Guam,
1990,Solomon Islands,"$2,071.67"
1990,Philippines,"$4,231.79"
1990,New Caledonia,
1990,Papua New Guinea,"$2,440.09"
1990,Vanuatu,"$2,805.85"
1990,Brunei,"$71,230.86"
1990,Yugoslavia,
1990,Zimbabwe,"$3,324.35"
1990,Nauru,
1990,Tahiti,
1990,Western Samoa,
1990,China,"$1,423.70"
1990,Argentina,"$14,144.89"
1990,American Samoa,
1990,France,"$33,893.59"
1990,Cook Islands,
1990,Austria,"$37,700.88"
1990,Korea,"$12,669.88"
1990,Malta,"$18,025.51"
1990,Pakistan,"$2,915.90"
1990,Tonga,"$3,935.75"
1991,New Zealand,"$26,022.60"
1991,Thailand,"$7,626.61"
1991,Indonesia,"$4,762.39"
1991,Germany,"$38,232.09"
1991,Zimbabwe,"$3,426.60"
1991,Hong Kong SAR,"$30,189.17"
1991,United States,"$39,919.74"
1991,Malaysia,"$10,993.14"
1991,United Kingdom,"$30,240.98"
1991,Fiji,"$8,123.58"
1991,Italy,"$37,304.51"
1991,Singapore,"$38,728.40"
1991,Japan,"$33,062.05"
1991,Canada,"$30,980.55"
1991,Western Samoa,
1991,Guam,
1991,Solomon Islands,"$2,135.03"
1991,Philippines,"$4,103.91"
1991,New Caledonia,
1991,American Samoa,
1991,Papua New Guinea,"$2,610.99"
1991,Vanuatu,"$2,814.39"
1991,Cook Islands,
1991,Brunei,"$71,404.84"
1991,Netherlands,"$37,232.00"
1991,Greece,"$24,916.63"
1991,Yugoslavia,
1991,United Arab Emirates,"$106,103.88"
1991,Pakistan,"$2,976.91"
1991,Nauru,
1991,Tahiti,
1991,Bahrain,"$41,784.62"
1991,China,"$1,534.94"
1991,India,"$1,792.00"
1991,Argentina,"$15,221.93"
1991,France,"$34,059.59"
1991,Korea,"$13,897.22"
1991,Austria,"$38,610.97"
1991,Tonga,"$4,180.44"
1991,Taiwan,
1992,New Zealand,"$26,034.80"
1992,Thailand,"$8,160.60"
1992,Indonesia,"$4,986.78"
1992,Germany,"$38,674.06"
1992,Hong Kong SAR,"$31,803.29"
1992,United States,"$40,756.70"
1992,Malaysia,"$11,665.83"
1992,United Kingdom,"$30,280.28"
1992,Italy,"$37,590.19"
1992,Singapore,"$40,077.55"
1992,Japan,"$33,259.77"
1992,Canada,"$30,891.62"
1992,Guam,
1992,Zimbabwe,"$3,054.89"
1992,Solomon Islands,"$2,338.79"
1992,Philippines,"$4,018.63"
1992,Fiji,"$8,514.14"
1992,New Caledonia,
1992,Papua New Guinea,"$2,904.56"
1992,Vanuatu,"$2,804.46"
1992,Korea,"$14,606.08"
1992,Taiwan,
1992,Brunei,"$72,704.67"
1992,Netherlands,"$37,581.98"
1992,Greece,"$24,900.11"
1992,China,"$1,731.79"
1992,Yugoslavia,
1992,United Arab Emirates,"$103,470.98"
1992,South Africa,"$9,490.98"
1992,Nauru,
1992,Tahiti,
1992,France,"$34,432.68"
1992,Austria,"$38,987.85"
1992,Western Samoa,
1992,Bahrain,"$43,444.30"
1992,Argentina,"$16,209.47"
1992,Cook Islands,
1992,Tonga,"$4,184.25"
